"Date","Time (GMT)","Highest","MHHW (m)","MHW (m)","MSL (m)","MTL (m)","MLW (m)","MLLW (m)","Lowest (m)","Inf"
"1898/08/01","00:00","1.897","1.592","1.403","0.781","0.799","0.196","-0.127","-0.572","0"
"1898/09/01","00:00","1.592","1.513","1.381","0.763","0.778","0.171","-0.1","-0.268","0"
"1898/10/01","00:00","1.714","1.452","1.336","0.711","0.729","0.126","-0.21","-0.45","0"
"1898/11/01","00:00","1.866","1.525","1.342","0.705","0.729","0.117","-0.28","-0.603","0"
"1898/12/01","00:00","1.897","1.573","1.33","0.702","0.717","0.104","-0.316","-0.694","0"
"1899/01/01","00:00","2.201","1.598","1.354","0.729","0.747","0.141","-0.249","-0.725","0"
"1899/02/01","00:00","1.683","1.455","1.26","0.644","0.659","0.056","-0.264","-0.786","0"
"1899/03/01","00:00","1.714","1.436","1.284","0.683","0.693","0.101","-0.188","-0.511","0"
"1899/04/01","00:00","1.653","1.433","1.29","0.702","0.72","0.15","-0.173","-0.511","0"
"1899/05/01","00:00","1.744","1.491","1.287","0.68","0.705","0.123","-0.264","-0.603","0"
"1899/06/01","00:00","1.866","1.61","1.372","0.76","0.781","0.193","-0.213","-0.572","0"
"1899/07/01","00:00","1.958","1.653","1.415","0.796","0.815","0.214","-0.182","-0.511","0"
"1899/08/01","00:00","1.683","1.573","1.369","0.763","0.775","0.181","-0.146","-0.45","0"
"1899/09/01","00:00","1.744","1.54","1.397","0.784","0.799","0.202","-0.072","-0.237","0"
"1899/10/01","00:00","1.927","1.561","1.436","0.818","0.836","0.232","-0.085","-0.298","0"
"1899/11/01","00:00","1.988","1.641","1.461","0.839","0.86","0.257","-0.115","-0.45","0"
"1899/12/01","00:00","2.079","1.653","1.445","0.821","0.845","0.245","-0.14","-0.511","0"
"1900/01/01","00:00","2.201","1.647","1.442","0.83","0.848","0.257","-0.088","-0.389","0"
"1900/02/01","00:00","1.805","1.543","1.375","0.757","0.763","0.153","-0.115","-0.542","0"
"1900/03/01","00:00","1.805","1.525","1.4","0.778","0.793","0.184","-0.051","-0.298","0"
"1900/04/01","00:00","1.805","1.439","1.299","0.69","0.699","0.098","-0.191","-0.542","0"
"1900/05/01","00:00","1.744","1.516","1.33","0.711","0.732","0.132","-0.219","-0.603","0"
"1900/06/01","00:00","1.836","1.61","1.372","0.76","0.784","0.193","-0.182","-0.511","0"
"1900/07/01","00:00","1.775","1.647","1.4","0.787","0.802","0.208","-0.152","-0.511","0"
"1900/08/01","00:00","1.805","1.613","1.403","0.793","0.808","0.214","-0.094","-0.389","0"
"1900/09/01","00:00","1.805","1.549","1.409","0.787","0.805","0.199","-0.079","-0.237","0"
"1900/10/01","00:00","1.958","1.546","1.421","0.79","0.805","0.193","-0.091","-0.328","0"
"1900/11/01","00:00","1.958","1.619","1.43","0.775","0.805","0.184","-0.182","-0.572","0"
